15923,GRP
60133,OTH
83681,IND
65507,IND
34263,IND
49139,GRP
58995,IND
88490,IND
46444,IND
60587,IND
44546,GRP
51628,IND
40110,GRP
15998,GRP
96457,GRP
70841,GRP
46139,GRP
40386,IND
98916,GRP
32190,IND
27550,OTH
24040,GRP
73516,IND
88905,IND
42112,IND
37740,IND
72405,IND
47445,GRP
27158,IND
17183,GRP
42325,GRP
15180,IND
58026,IND
81352,IND
33133,GRP
91036,GRP
22882,IND
40842,IND
73612,IND
15815,GRP
24049,IND
79204,GRP
46229,GRP
34669,GRP
34575,GRP
20357,IND
52445,GRP
10991,GRP
57135,GRP
72369,GRP
42192,IND
43587,GRP
41553,OTH
62986,GRP
70051,IND
73642,IND
11645,GRP
72274,OTH
21524,IND
84579,GRP
59519,GRP
51386,IND
10918,GRP
57541,IND
25125,IND
61295,GRP
53351,IND
25463,GRP
85613,GRP
85886,OTH
54621,IND
80397,GRP
67926,GRP
41588,OTH
51948,IND
28196,IND
50376,IND
45304,GRP
27228,GRP
57326,GRP
88221,GRP
97610,GRP
63048,IND
30075,IND
60466,GRP
25685,IND
16333,GRP
78417,IND
51525,IND
84550,IND
23530,IND
57284,GRP
59700,IND
13433,GRP
80197,IND
79309,GRP
47696,GRP
55633,IND
87934,GRP
27455,GRP
83466,IND
48657,IND
86611,GRP
12193,OTH
63985,IND
20522,IND
70324,GRP
89329,GRP
11100,OTH
83240,GRP
81890,IND
72037,OTH
94607,IND
72531,GRP
98575,IND
58342,IND
39429,IND
18786,OTH
67049,IND
98216,GRP
37649,IND
59751,IND
92215,GRP
22311,GRP
75125,IND
21354,IND
22594,GRP
33394,IND
56513,GRP
59691,GRP
41997,IND
56637,IND
97410,GRP
77746,IND
17704,IND
61674,GRP
39860,IND
79934,IND
55048,GRP
76833,GRP
55832,GRP
32056,OTH
67841,IND
94427,GRP
96594,GRP
62689,IND
35968,GRP
14516,IND
15866,OTH
57185,IND
91430,GRP
29203,IND
27913,IND
46410,IND
16856,IND
89200,IND
45269,GRP
15437,GRP
91472,IND
98531,OTH
98685,GRP
31665,IND
38732,GRP
46983,IND
22067,OTH
79756,GRP
99563,IND
23542,GRP
83416,IND
67418,IND
58632,IND
35612,IND
96905,IND
79778,IND
90328,IND
71350,IND
43782,GRP
58287,IND
32061,IND
63129,GRP
74797,IND
25177,IND
87428,IND
39400,GRP
88745,GRP
70443,OTH
90327,IND
65545,GRP
58543,GRP
79222,GRP
72401,IND
31354,GRP
29008,IND
41590,IND
72523,GRP
14640,OTH
74909,IND
96397,IND
34030,IND
29113,IND
11286,IND
41821,IND
76379,GRP
52080,GRP
51762,IND
71592,IND
78688,GRP
76135,IND
30778,IND
22569,GRP
48938,IND
41438,GRP
73439,OTH
